编号,剖面名称,数据采集时间,长度(km),剖面位置,,,,参考文献
94,马尔康-古浪,2004,637,102.5617 ,32.0425 ,103.1680 ,37.6728 ,"张先康等, 2008"
95,丹凤-彬县,2005,360,107.8833 ,35.1833 ,111.0000 ,35.5728 ,"任隽等, 2012"
96,盐源-马边,2005,300,101.0595 ,27.2953 ,103.7694 ,28.4116 ,"王夫运等, 2008 (结果未全部发表）"
97,南江-泾川,2005,390,107.3679 ,35.3327 ,106.7925 ,32.3189 ,未见发表
98,达茂-八音,2005,300,111.6090 ,41.3543 ,108.2198 ,42.2917 ,未见发表
99,INDEPTH-IV,2006,270,94.9571 ,34.7397 ,95.4885 ,37.1754 ,"Karplus et al., 2011"
100,延川-满拉都,2006,650,110.0813 ,42.5623 ,110.2064 ,36.8688 ,"Wang et al., 2019
滕吉文等, 2010"
101,天津-赤城,2006,330,115.7181 ,40.9878 ,117.6004 ,38.4313 ,"嘉世旭等, 2009
王帅军等, 2007"
102,Kashgar–SongK?l,2008,340,75.0634 ,41.7333 ,76.4515 ,39.3422 ,"Makarov et al., 2010"
103,诸城-伊川,2008,960,109.7500 ,36.0000 ,120.1200 ,36.0000 ,"Li et al., 2011
Tian et al., 2022"
104,文登-阿拉善,2009,1530,122.5000 ,36.9583 ,105.0722 ,39.2416 ,"Wang et al., 2019
Liu et al., 2015
Wang et al., 2014
Jia et al., 2014"
105,合作-景泰,2009,430,102.2797 ,34.2938 ,104.4492 ,37.8243 ,"Zhang et al., 2013"
106,化德-洪格尔,2009,600,114.8806 ,40.7922 ,111.9244 ,44.8735 ,"李英康等, 2014"
107,怀来-苏尼特,2009,453,112.8674 ,42.9524 ,115.7557 ,40.5995 ,"李文辉等, 2014"
108,阿坝-遂宁,2010,500,101.6100 ,32.9757 ,105.6146 ,30.4499 ,"张新彦等, 2017
Jia et al., 2014"
109,囊谦-花石峡,2010,540,96.3175 ,31.6833 ,99.5625 ,35.5431 ,"张建狮等, 2014
嘉世旭等, 2017"
110,大丰-包头,2010,1334,120.8166 ,32.8083 ,109.9722 ,40.9167 ,"Duan et al., 2015"
111,涪陵-榆林,2010,1000,107.4158 ,29.5436 ,109.6598 ,38.1593 ,滕吉文等，2014
112,章丘-利津,2011,230,117.2500 ,36.5000 ,118.6792 ,37.9278 ,"王帅军等, 2013"
113,普洱-泸西,2011,360,101.1563 ,23.1703 ,104.0000 ,28.4821 ,张恩会等，2013
114,玉溪-临沧,2011,300,99.6281 ,23.9024 ,102.6742 ,24.1688 ,"王夫运等, 2014"
115,利辛-宜兴,2011,450,116.0477 ,33.2407 ,119.9527 ,31.1120 ,"徐涛等, 2014"
116,邵武-南平,2011,330,117.1770 ,27.5820 ,119.7420 ,25.4210 ,"Li et al., 2015"
117,镇康—泸西,2011,600,98.7000 ,23.8694 ,104.5778 ,24.3439 ,"邓晓果等, 2022"
118,林甸-贝尔苏木,2011,650,124.8636 ,47.1717 ,116.8237 ,48.6647 ,"李英康等, 2014"
119,勐海-泸水,,600,100.5383 ,21.4750 ,98.8458 ,26.3333 ,"Wang et al., 2015"
120,丽江-清镇,2012,650,100.0128 ,26.7561 ,106.6551 ,26.5854 ,"Xu et al., 2015"
121,宁化-惠安,2012,300,116.7020 ,26.4130 ,118.9480 ,24.9090 ,"蔡辉腾等, 2016"
122,六盘山,2012,410,104.9114 ,35.2050 ,109.2157 ,35.6153 ,李文辉等，2017
123,云县—宁蒗,2012,300,100.1400 ,24.4500 ,101.0000 ,27.0300 ,"陈思文等, 2016"
124,金川-自贡,2013,410,104.6542 ,29.0944 ,101.7750 ,31.6903 ,"王帅军, 2015"
125,海阳-栖霞,2013,500,120.3480 ,38.0420 ,121.3766 ,36.4287 ,"潘素珍等, 2015"
126,十堰-陇南,2013,560,110.7980 ,32.6294 ,104.9263 ,33.392211?,"李英康等, 2015"
127,乌审-敖包,2014,500,103.6197 ,39.8934 ,108.7801 ,37.9310 ,"林吉炎等, 2017  (结果未全部发表)"
128,阿坝-吴旗,2014,850,101.0574 ,32.0334 ,108.6035 ,37.2008 ,"嘉世旭等, 2017 (结果未全部发表)"
129,铜川-阿拉善,2014,760,109.3250 ,34.7833 ,103.9272 ,40.2000 ,"赵金仁等, 2017
Wang et al., 2018"
130,兰州-榆林,2014,660,103.2806 ,36.1667 ,110.1033 ,38.5500 ,"赵金仁等, 2017
Wang et al., 2018"
131,玛多-雅布赖,2014,850,97.4915 ,34.1376 ,103.1727 ,39.8639 ,"Jia et al., 2019"
132,英山-常山,2014,350,115.6590 ,30.7259 ,118.5260 ,28.8967 ,"Hou et al., 2022"
133,拉萨,2016,450,88.5000 ,28.3000 ,88.5000 ,32.0000 ,"Wang et al., 2021"
134,万载-惠安,2018,620,113.9973 ,28.1439 ,118.9532 ,24.8960 ,"Lin et al., 2021"
135,奈曼旗南—东乌旗北,2018,520,121.3000 ,42.7000 ,117.2000 ,46.1500 ,王海燕等，2022
136,阿尔泰,2018,637,89.1336 ,47.3763 ,92.1778 ,42.0588 ,"Bai et al., 2023"
