Publication Year,Author,Title,Publication Title,DOI,Pages,Issue,Volume,Manual Tags
2023,"Bai, Zhiming; Zhao, Liang; Xiao, Wenjiao; Xu, Tao; Badal, José",P-wave velocity structure and implications for magmatism and metallogenesis in the southern Altaids: Constraint from wide-angle seismic data along the Altai-Eastern Tianshan traverse,Frontiers in Earth Science,,,,11,# Altaids; #DSS
2004,"Zheng, Du",Uplifting of Tibetan Plateau with its environmental effects,,,,,,#DSS; #措勤-樟木
2007,"Wang, Chun-Yong; Han, Wei-Bin; Wu, Jian-Ping; Lou, Hai; Chan, W. Winston",Crustal structure beneath the eastern margin of the Tibetan Plateau and its tectonic implications,Journal of Geophysical Research: Solid Earth,10.1029/2005JB003873,,B7,112,#SE Tibet; #唐克-奔子栏; #竹巴龙—资中; #DSS
2022,"Hou, Jue; Xu, Tao; Lü, Qingtian; Bai, Zhiming; Zhang, Yongqian; Zhang, Zhiyu; Yang, Dan","The deep background of large-scale, Mesozoic Cu-Au-W metallogenesis in northeastern South China: Constraints from Yingshan-Changshan wide-angle seismic reflection/refraction data",Science China Earth Sciences,10.1007/s11430-022-9973-4,2202-2218,11 ,65,# Yangtze; #DSS; #英山-常山
2021,"Lin, Jiyan; Xu, Tao; Cai, Huiteng; Lü, Qingtian; Bai, Zhiming; Deng, Yangfan; Zhang, Yongqian; Huang, Minfu; Badal, José; Jin, Xing",Crustal velocity structure of Cathaysia Block from an active-source seismic profile between Wanzai and Hui'an in SE China,Tectonophysics,10.1016/j.tecto.2021.228874,228874.00 ,,811,#万载-惠安; #Cathaysia; #DSS
2022,"Tian, Xiaofeng; Mooney, Walter D.; Deng, Xiaoguo; Li, Songlin; Liu, Baofeng; Liu, Hanqi",Crustal P- and S-Wave Velocity Structure of the North China Craton at 36°N from Active-Source Seismic Data and Its Tectonic Implications,Journal of Earth Science,10.1007/s12583-021-1530-z,642-663,3 ,33,# North China Craton; #诸城-伊川; #DSS
2018,"Zhang, Xiang; Ye, Xiuwei; Lv, Jinshui; Sun, Jinlong; Wang, Xiaona",Crustal structure revealed by a deep seismic sounding profile of Baijing-Gaoming-Jinwan in the Pearl River Delta,Journal of Ocean University of China,10.1007/s11802-018-3489-7,186-194,1 ,17,#DSS
2015,"Li, Pei; Jin, Xin; Wang, ShanXiong; Cai, HuiTeng",Crustal velocity structure of the Shaowu-Nanping-Pingtan transect through Fujian from deep seismic sounding-tectonic implications,Science China Earth Sciences,10.1007/s11430-015-5191-6,2188-2199,12 ,58,#邵武-南平-平潭; #DSS
2017,"Lin, Ji-Yan; Liu, Bao-Jin; Zhang, Xian-Kang; Duan, Yong-Hong",Lithosphere structure of Yinchuan basin from a long-range seismic wide angle reflection and refraction profile,Acta Seismologica Sinica,10.11939/jass.2017.05.004,669-681,5 ,39,#DSS; #North China Craton
2018,"Wang, Shuaijun; Liu, Baojin; Tian, Xiaofeng; Liu, Baofeng; Song, Xianghui; Deng, Xiaoguo; Sun, Yinan; Ma, Cejun; Yang, Yudong",Crustal P-wave velocity structure in the northeastern margin of the Qinghai-Tibetan Plateau and insights into crustal deformation,Science China Earth Sciences,10.1007/s11430-017-9227-7,1221-1237,9 ,61,#NE Tibet; #North China Craton; #兰州-榆林; #铜川-阿拉善左旗; #DSS
